id,Personality,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Stage_fear_basic_encoded,Stage_fear_noise_encoded,Stage_fear_cv_encoded_1,Stage_fear_cv_encoded_2,Drained_after_socializing_basic_encoded,Drained_after_socializing_noise_encoded,Drained_after_socializing_cv_encoded_1,Drained_after_socializing_cv_encoded_2
10,Extrovert,3.0,No,7.0,4.0,No,5.0,10.0,0.9757809804516525,0.9801222089679376,0.9757809804516525,0.9752524091342913,0.9757491039443281,0.9576575317820218,0.9757491039443281,0.9752090993890185
11,Extrovert,2.0,No,6.0,3.0,No,4.0,8.0,0.9755279900571651,0.984328467693383,0.9755279900571651,0.9755732966617038,0.9761370056357601,0.970228420281189,0.9761370056357601,0.975440789615481
12,Extrovert,3.0,No,5.0,4.0,No,9.0,6.0,0.9757809804516525,0.9799317619365977,0.9757809804516525,0.9759497635885929,0.9757491039443281,0.9888284375697459,0.9757491039443281,0.9753971019820952
13,Extrovert,3.0,,,5.0,No,12.0,5.0,0.7395235845873541,0.7310015096806641,0.7395235845873541,0.7397260273972602,0.9757491039443281,0.9812817314732867,0.9757491039443281,0.9753971019820952
14,Extrovert,3.0,No,6.0,4.0,No,9.0,,0.9755279900571651,0.9810422034812863,0.9755279900571651,0.9759497635885929,0.9761370056357601,0.9813489146594205,0.9761370056357601,0.9753971019820952
15,Extrovert,,No,7.0,6.0,No,5.0,8.0,0.9762257032185212,0.9687762266047246,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.975228422266341,0.9761127243169778,0.9753971019820952
16,Extrovert,0.0,No,6.0,4.0,No,8.0,10.0,0.9762257032185212,0.9825877532425698,0.9762257032185212,0.9755732966617038,0.9761127243169778,0.9792050985609411,0.9761127243169778,0.975440789615481
17,Introvert,5.0,,0.0,4.0,Yes,2.0,0.0,0.7395411605937922,0.7381114816420234,0.7395411605937922,0.7387138133477292,0.06773300669188627,0.07289234194098271,0.06773300669188627,0.06932037704774992
18,Extrovert,1.0,No,4.0,4.0,No,11.0,9.0,0.9757809804516525,1.0005141090676608,0.9757809804516525,0.9752524091342913,0.9757491039443281,0.9842095237335263,0.9757491039443281,0.9752090993890185
19,Extrovert,1.0,No,,5.0,No,10.0,3.0,0.9752173145650477,0.9649910749335971,0.9752173145650477,0.9756800665555754,0.9750398372807411,0.9737643514249955,0.9750398372807411,0.9760370229573381
20,Extrovert,1.0,No,9.0,3.0,No,10.0,7.0,0.9757809804516525,0.9649156686644851,0.9757809804516525,0.9756800665555754,0.9757491039443281,0.9786997143767661,0.9757491039443281,0.9760370229573381
21,Introvert,6.0,Yes,3.0,2.0,Yes,1.0,3.0,0.06827962412478918,0.07867181632435602,0.06827962412478918,0.06801584145491464,0.06773300669188627,0.06569956249988464,0.06773300669188627,0.06684809959861038
22,Introvert,4.0,,0.0,1.0,Yes,2.0,0.0,0.7395411605937922,0.7471678994379973,0.7395411605937922,0.7387138133477292,0.06773300669188627,0.06604431988802464,0.06773300669188627,0.06684809959861038
23,Extrovert,3.0,No,9.0,7.0,No,6.0,3.0,0.9744248114517252,0.9817073585175441,0.9744248114517252,0.9747171890469377,0.9742467865301073,0.9702360600257575,0.9742467865301073,0.9751998213573527
24,Extrovert,1.0,No,5.0,3.0,No,12.0,5.0,0.9755279900571651,0.9780348401494888,0.9755279900571651,0.9756800665555754,0.9761370056357601,0.9832817419476612,0.9761370056357601,0.9760370229573381
25,Introvert,9.0,Yes,1.0,3.0,Yes,7.0,5.0,0.06778410405808825,0.07677322598935814,0.06778410405808825,0.07396272918470558,0.06751100341525783,0.06382314370825015,0.06751100341525783,0.07339967552160642
26,Extrovert,3.0,,6.0,5.0,No,10.0,9.0,0.7395235845873541,0.7447255070178974,0.7395235845873541,0.7395910655239895,0.9761127243169778,0.9692853876823397,0.9761127243169778,0.9760370229573381
27,Introvert,9.0,,0.0,0.0,Yes,1.0,1.0,0.7395235845873541,0.7420854981458419,0.7395235845873541,0.7387138133477292,0.07131295272514954,0.08172892442173987,0.07131295272514954,0.06932037704774992
28,Extrovert,2.0,No,,4.0,No,5.0,8.0,0.9755279900571651,0.973556796687954,0.9755279900571651,0.9759497635885929,0.9761370056357601,0.9727672424705122,0.9761370056357601,0.9753971019820952
29,Introvert,,Yes,1.0,0.0,Yes,4.0,0.0,0.06778410405808825,0.07198552202248995,0.06778410405808825,0.07396272918470558,0.06751100341525783,0.06671886071858002,0.06751100341525783,0.07339967552160642
30,Extrovert,3.0,No,9.0,0.0,No,8.0,5.0,0.9755279900571651,0.9785272706501593,0.9755279900571651,0.9755732966617038,0.9761370056357601,0.9701227201429355,0.9761370056357601,0.975440789615481
31,Extrovert,,No,4.0,,No,11.0,5.0,0.9755279900571651,0.9682611802539282,0.9755279900571651,0.9755732966617038,0.9761370056357601,0.9756815682295455,0.9761370056357601,0.975440789615481
32,Extrovert,1.0,No,9.0,5.0,No,4.0,8.0,0.9752173145650477,0.974470909232848,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9590195974444385,0.9750398372807411,0.9751998213573527
33,Extrovert,2.0,No,7.0,5.0,No,11.0,9.0,0.9744248114517252,0.9558521801687708,0.9744248114517252,0.9755732966617038,0.9742467865301073,0.9806189981713056,0.9742467865301073,0.975440789615481
34,Introvert,5.0,Yes,1.0,0.0,,3.0,2.0,0.0688843169716374,0.08132743422837929,0.0688843169716374,0.06801584145491464,0.7395235845873541,0.7499690228081993,0.7395235845873541,0.7387138133477292
35,Introvert,6.0,Yes,2.0,3.0,Yes,1.0,3.0,0.0688843169716374,0.07540598129600348,0.0688843169716374,0.06818251241284612,0.06694094669160668,0.05556571895983751,0.06694094669160668,0.06776991021972753
36,Extrovert,3.0,No,6.0,3.0,No,7.0,,0.9752173145650477,0.9827753315970383,0.9752173145650477,0.9756800665555754,0.9750398372807411,0.9779833474988672,0.9750398372807411,0.9760370229573381
37,Extrovert,2.0,No,7.0,4.0,No,5.0,3.0,0.9744248114517252,0.9775583626705862,0.9744248114517252,0.9759497635885929,0.9742467865301073,0.9716540140944728,0.9742467865301073,0.9753971019820952
38,Extrovert,2.0,No,8.0,3.0,No,13.0,6.0,0.9757809804516525,0.9683340803304445,0.9757809804516525,0.9747171890469377,0.9757491039443281,0.9626296971118043,0.9757491039443281,0.9751998213573527
39,Extrovert,0.0,No,5.0,4.0,No,11.0,4.0,0.9755279900571651,0.977810985428064,0.9755279900571651,0.9755732966617038,0.9761370056357601,0.9740552949644442,0.9761370056357601,0.975440789615481
40,Extrovert,0.0,No,8.0,3.0,No,10.0,4.0,0.9752173145650477,0.9616804860050414,0.9752173145650477,0.9759497635885929,0.9750398372807411,0.9850345776675035,0.9750398372807411,0.9753971019820952
41,Extrovert,,No,6.0,5.0,No,14.0,3.0,0.9752173145650477,0.9702550629753373,0.9752173145650477,0.9755732966617038,0.9750398372807411,0.9836695814841665,0.9750398372807411,0.975440789615481
42,Extrovert,2.0,No,6.0,6.0,No,5.0,6.0,0.9762257032185212,0.981431679931258,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.9751900287723281,0.9761127243169778,0.9753971019820952
43,Extrovert,0.0,No,9.0,4.0,,11.0,5.0,0.9757809804516525,0.9656385521703532,0.9757809804516525,0.9755732966617038,0.7395235845873541,0.7503106074771221,0.7395235845873541,0.7408906882591093
44,Introvert,9.0,Yes,1.0,0.0,Yes,3.0,0.0,0.0692116934852581,0.07299728269129495,0.0692116934852581,0.07396272918470558,0.06863507082835431,0.06427400332758162,0.06863507082835431,0.07339967552160642
45,Extrovert,2.0,No,6.0,,No,11.0,4.0,0.9752173145650477,0.9654525323260412,0.9752173145650477,0.9752524091342913,0.9750398372807411,0.976808691361284,0.9750398372807411,0.9752090993890185
46,Extrovert,2.0,No,7.0,3.0,No,12.0,6.0,0.9757809804516525,0.9620129440884866,0.9757809804516525,0.9747171890469377,0.9757491039443281,0.9758526418104231,0.9757491039443281,0.9751998213573527
47,Extrovert,0.0,No,4.0,7.0,No,14.0,3.0,0.9752173145650477,0.9722729526657972,0.9752173145650477,0.9755732966617038,0.9750398372807411,0.9819267616143852,0.9750398372807411,0.975440789615481
48,Introvert,10.0,Yes,1.0,,Yes,5.0,1.0,0.0688843169716374,0.06804245571699293,0.0688843169716374,0.07099717470937374,0.06694094669160668,0.0588639785956763,0.06694094669160668,0.06932037704774992
49,Extrovert,2.0,No,9.0,7.0,No,6.0,4.0,0.9744248114517252,0.9705429939324012,0.9744248114517252,0.9755732966617038,0.9742467865301073,0.9661784330775668,0.9742467865301073,0.975440789615481
50,Introvert,7.0,Yes,,2.0,Yes,5.0,2.0,0.07129131651376448,0.05798936604340839,0.07129131651376448,0.07396272918470558,0.07131295272514954,0.07489214749460889,0.07131295272514954,0.07339967552160642
51,Extrovert,0.0,No,3.0,6.0,No,5.0,8.0,0.9755279900571651,0.967232948430596,0.9755279900571651,0.9752524091342913,0.9761370056357601,0.9616133850501245,0.9761370056357601,0.9752090993890185
52,Extrovert,0.0,No,7.0,6.0,No,7.0,3.0,0.9755279900571651,0.9765829552861919,0.9755279900571651,0.9747171890469377,0.9761370056357601,1.002205644603328,0.9761370056357601,0.9751998213573527
53,Introvert,6.0,Yes,3.0,3.0,Yes,5.0,0.0,0.06778410405808825,0.07709412428873755,0.06778410405808825,0.07396272918470558,0.06751100341525783,0.07704932911668629,0.06751100341525783,0.07339967552160642
54,Introvert,4.0,Yes,3.0,1.0,Yes,,1.0,0.06827962412478918,0.07279081032378021,0.06827962412478918,0.06818251241284612,0.06773300669188627,0.0688897032421373,0.06773300669188627,0.06776991021972753
55,Introvert,9.0,Yes,0.0,,Yes,2.0,1.0,0.07129131651376448,0.07313544784128041,0.07129131651376448,0.07099717470937374,0.07131295272514954,0.04998790913292844,0.07131295272514954,0.06932037704774992
56,Extrovert,3.0,No,9.0,7.0,No,12.0,3.0,0.9762257032185212,0.9676584020562607,0.9762257032185212,0.9747171890469377,0.9761127243169778,0.9684754199773564,0.9761127243169778,0.9751998213573527
57,Extrovert,4.0,No,6.0,3.0,No,8.0,7.0,0.9757809804516525,0.97889138537232,0.9757809804516525,0.9752524091342913,0.9757491039443281,0.9800598655829489,0.9757491039443281,0.9752090993890185
58,Introvert,8.0,Yes,0.0,2.0,Yes,5.0,,0.06778410405808825,0.05104392044787817,0.06778410405808825,0.07099717470937374,0.06751100341525783,0.0693294344724528,0.06751100341525783,0.06932037704774992
59,Extrovert,2.0,,8.0,6.0,No,14.0,9.0,0.7395235845873541,0.7295715131473537,0.7395235845873541,0.7408906882591093,0.9761370056357601,0.9864038333397604,0.9761370056357601,0.975440789615481
60,Introvert,9.0,Yes,4.0,0.0,Yes,2.0,0.0,0.06778410405808825,0.06595930923779876,0.06778410405808825,0.06427265184482787,0.06751100341525783,0.06389434412108065,0.06751100341525783,0.0647879894162173
61,Extrovert,0.0,No,9.0,3.0,No,4.0,5.0,0.9757809804516525,0.968771091176507,0.9757809804516525,0.9759497635885929,0.9757491039443281,0.9847296906762689,0.9757491039443281,0.9753971019820952
62,Extrovert,,No,6.0,6.0,No,13.0,4.0,0.9755279900571651,0.9760511857843333,0.9755279900571651,0.9752524091342913,0.9761370056357601,0.9609838376768657,0.9761370056357601,0.9752090993890185
63,Extrovert,8.0,Yes,4.0,2.0,Yes,,0.0,0.07129131651376448,0.062401656096011254,0.07129131651376448,0.06427265184482787,0.07131295272514954,0.07531660609382967,0.07131295272514954,0.0647879894162173
64,Introvert,9.0,,2.0,2.0,Yes,1.0,0.0,0.7395411605937922,0.7394647512412011,0.7395411605937922,0.7387138133477292,0.06773300669188627,0.0835176702062134,0.06773300669188627,0.06932037704774992
65,Introvert,4.0,,0.0,2.0,Yes,0.0,2.0,0.7395235845873541,0.744781656157782,0.7395235845873541,0.7387138133477292,0.06863507082835431,0.06828981594435071,0.06863507082835431,0.06932037704774992
66,Extrovert,5.0,No,8.0,4.0,No,8.0,10.0,0.9762257032185212,0.9572349176218502,0.9762257032185212,0.9756800665555754,0.9761127243169778,0.9743035521194275,0.9761127243169778,0.9760370229573381
67,Extrovert,3.0,No,,7.0,No,6.0,9.0,0.9752173145650477,0.9728387276952684,0.9752173145650477,0.9759497635885929,0.9750398372807411,0.9933931968835448,0.9750398372807411,0.9753971019820952
68,Introvert,7.0,Yes,0.0,2.0,,3.0,0.0,0.07129131651376448,0.07350073020211696,0.07129131651376448,0.07099717470937374,0.7395235845873541,0.7339166232509814,0.7395235845873541,0.7387138133477292
69,Introvert,4.0,Yes,1.0,,Yes,0.0,2.0,0.0692116934852581,0.06746402764197904,0.0692116934852581,0.06801584145491464,0.06863507082835431,0.09169228174581151,0.06863507082835431,0.06684809959861038
70,Extrovert,3.0,No,4.0,3.0,No,6.0,10.0,0.9757809804516525,0.9558042236517824,0.9757809804516525,0.9755732966617038,0.9757491039443281,0.9806074346625443,0.9757491039443281,0.975440789615481
71,Extrovert,0.0,No,7.0,4.0,,15.0,9.0,0.9752173145650477,0.9900761351815742,0.9752173145650477,0.9752524091342913,0.7395235845873541,0.7337995105993752,0.7395235845873541,0.7387138133477292
72,Extrovert,2.0,No,8.0,6.0,No,10.0,8.0,0.9757809804516525,0.9632657702659138,0.9757809804516525,0.9759497635885929,0.9757491039443281,0.9646476107137733,0.9757491039443281,0.9753971019820952
73,Extrovert,1.0,No,7.0,5.0,No,12.0,4.0,0.9757809804516525,0.9901599179819043,0.9757809804516525,0.9752524091342913,0.9757491039443281,0.9727406237499896,0.9757491039443281,0.9752090993890185
74,Extrovert,2.0,No,6.0,6.0,No,5.0,3.0,0.9757809804516525,0.9759436966164067,0.9757809804516525,0.9755732966617038,0.9757491039443281,0.981262941385698,0.9757491039443281,0.975440789615481
75,Extrovert,2.0,No,7.0,5.0,No,10.0,8.0,0.9744248114517252,0.9641221500524102,0.9744248114517252,0.9747171890469377,0.9742467865301073,0.9947235328702323,0.9742467865301073,0.9751998213573527
76,Introvert,10.0,Yes,0.0,2.0,Yes,1.0,1.0,0.0688843169716374,0.05517994944370744,0.0688843169716374,0.07396272918470558,0.06694094669160668,0.05373277688790126,0.06694094669160668,0.07339967552160642
77,Introvert,5.0,Yes,2.0,3.0,,1.0,3.0,0.07129131651376448,0.07498768126255362,0.07129131651376448,0.06818251241284612,0.7395235845873541,0.7489038828559895,0.7395235845873541,0.7395910655239895
78,Extrovert,0.0,No,5.0,4.0,No,6.0,7.0,0.9752173145650477,0.9710125218853739,0.9752173145650477,0.9755732966617038,0.9750398372807411,0.9705470591632127,0.9750398372807411,0.975440789615481
79,Extrovert,1.0,No,4.0,4.0,No,12.0,8.0,0.9752173145650477,0.9687806948884033,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9675404900907547,0.9750398372807411,0.9751998213573527
80,Extrovert,2.0,No,9.0,4.0,No,6.0,,0.9755279900571651,0.9701082401155571,0.9755279900571651,0.9752524091342913,0.9761370056357601,0.9637816704413089,0.9761370056357601,0.9752090993890185
81,Extrovert,4.0,No,8.0,5.0,No,8.0,6.0,0.9757809804516525,0.9757812938984968,0.9757809804516525,0.9755732966617038,0.9757491039443281,0.983575288995523,0.9757491039443281,0.975440789615481
82,Extrovert,0.0,No,6.0,7.0,No,14.0,3.0,0.9762257032185212,0.9858193761639498,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.9945485051341095,0.9761127243169778,0.9753971019820952
83,Introvert,9.0,Yes,,3.0,Yes,4.0,0.0,0.06827962412478918,0.06603753446024294,0.06827962412478918,0.07099717470937374,0.06773300669188627,0.08193763292894919,0.06773300669188627,0.06932037704774992
84,Extrovert,3.0,No,7.0,6.0,No,4.0,6.0,0.9755279900571651,0.9745349584580143,0.9755279900571651,0.9756800665555754,0.9761370056357601,0.9743370683260388,0.9761370056357601,0.9760370229573381
85,Extrovert,0.0,No,6.0,4.0,No,6.0,6.0,0.9744248114517252,0.9732854110352752,0.9744248114517252,0.9752524091342913,0.9742467865301073,0.9762769472743885,0.9742467865301073,0.9752090993890185
86,Extrovert,1.0,No,8.0,3.0,No,10.0,6.0,0.9744248114517252,0.9797077368768431,0.9744248114517252,0.9752524091342913,0.9742467865301073,0.9711200044165843,0.9742467865301073,0.9752090993890185
87,Introvert,11.0,,0.0,2.0,Yes,1.0,2.0,0.7395235845873541,0.7579382687001905,0.7395235845873541,0.7397260273972602,0.07131295272514954,0.08748237614119314,0.07131295272514954,0.0647879894162173
88,Extrovert,3.0,No,6.0,4.0,No,,,0.9744248114517252,0.9793909061251223,0.9744248114517252,0.9755732966617038,0.9742467865301073,0.9851514890931208,0.9742467865301073,0.975440789615481
89,Extrovert,2.0,,5.0,5.0,No,5.0,3.0,0.7395235845873541,0.737853296025178,0.7395235845873541,0.7408906882591093,0.9761370056357601,0.973950803598826,0.9761370056357601,0.975440789615481
90,Extrovert,0.0,No,5.0,6.0,No,,9.0,0.9752173145650477,0.9559140500456942,0.9752173145650477,0.9759497635885929,0.9750398372807411,0.9869070168995567,0.9750398372807411,0.9753971019820952
91,Extrovert,3.0,No,3.0,7.0,No,4.0,9.0,0.9762257032185212,0.9830752789915963,0.9762257032185212,0.9755732966617038,0.9761127243169778,0.9660047768175163,0.9761127243169778,0.975440789615481
92,Introvert,10.0,,1.0,2.0,Yes,1.0,0.0,0.7395411605937922,0.7366237192704373,0.7395411605937922,0.7395910655239895,0.06773300669188627,0.06265801920832414,0.06773300669188627,0.06776991021972753
93,Extrovert,1.0,No,9.0,7.0,No,,6.0,0.9752173145650477,0.9700721040992331,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9727285721004838,0.9750398372807411,0.9751998213573527
94,Extrovert,2.0,No,5.0,6.0,No,7.0,8.0,0.9762257032185212,0.9795871682025767,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.9741653114495833,0.9761127243169778,0.9753971019820952
95,Extrovert,0.0,No,8.0,6.0,No,6.0,5.0,0.9762257032185212,0.956844308957401,0.9762257032185212,0.9756800665555754,0.9761127243169778,0.9846273464381123,0.9761127243169778,0.9760370229573381
96,Introvert,9.0,,1.0,3.0,Yes,4.0,3.0,0.7395411605937922,0.7474370153923942,0.7395411605937922,0.7397260273972602,0.06773300669188627,0.06541129278351858,0.06773300669188627,0.0647879894162173
97,Introvert,4.0,Yes,3.0,0.0,Yes,0.0,1.0,0.06778410405808825,0.07782900332062143,0.06778410405808825,0.06427265184482787,0.06751100341525783,0.07399069425700737,0.06751100341525783,0.0647879894162173
98,Extrovert,0.0,No,6.0,5.0,No,11.0,7.0,0.9757809804516525,0.9774478503096691,0.9757809804516525,0.9747171890469377,0.9757491039443281,0.9802118315941059,0.9757491039443281,0.9751998213573527
99,Extrovert,2.0,No,6.0,3.0,No,,7.0,0.9752173145650477,0.9711997793809886,0.9752173145650477,0.9759497635885929,0.9750398372807411,0.9799381721830553,0.9750398372807411,0.9753971019820952
100,Extrovert,1.0,No,6.0,5.0,No,7.0,3.0,0.9757809804516525,0.9686598179647427,0.9757809804516525,0.9747171890469377,0.9757491039443281,0.9702092406887051,0.9757491039443281,0.9751998213573527
101,Extrovert,2.0,No,10.0,6.0,No,10.0,7.0,0.9752173145650477,0.9734945437084221,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9900808381377308,0.9750398372807411,0.9751998213573527
102,Extrovert,6.0,Yes,2.0,0.0,Yes,2.0,0.0,0.06778410405808825,0.08731363898146208,0.06778410405808825,0.07396272918470558,0.06751100341525783,0.05783802990514937,0.06751100341525783,0.07339967552160642
103,Extrovert,0.0,No,6.0,6.0,No,11.0,6.0,0.9762257032185212,0.9847169130231292,0.9762257032185212,0.9752524091342913,0.9761127243169778,0.974419733556465,0.9761127243169778,0.9752090993890185
104,Extrovert,,No,6.0,6.0,No,8.0,8.0,0.9762257032185212,0.9674075891293525,0.9762257032185212,0.9747171890469377,0.9761127243169778,0.9678940050070234,0.9761127243169778,0.9751998213573527
105,Introvert,8.0,Yes,0.0,2.0,,1.0,0.0,0.07129131651376448,0.06402378420334952,0.07129131651376448,0.06801584145491464,0.7395235845873541,0.7484510674947517,0.7395235845873541,0.7387138133477292
106,Extrovert,2.0,No,10.0,4.0,No,10.0,3.0,0.9752173145650477,0.9678542292199761,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9734609553010795,0.9750398372807411,0.9751998213573527
107,Extrovert,,No,4.0,4.0,No,5.0,6.0,0.9757809804516525,0.9716749201518875,0.9757809804516525,0.9756800665555754,0.9757491039443281,0.9742840436357028,0.9757491039443281,0.9760370229573381
108,Extrovert,9.0,No,6.0,6.0,No,15.0,4.0,0.9757809804516525,0.982619215877163,0.9757809804516525,0.9755732966617038,0.9757491039443281,0.9760298495660678,0.9757491039443281,0.975440789615481
109,Extrovert,2.0,No,6.0,5.0,No,6.0,6.0,0.9744248114517252,0.9600978382856349,0.9744248114517252,0.9756800665555754,0.9742467865301073,0.9963449025559232,0.9742467865301073,0.9760370229573381
110,Extrovert,0.0,No,9.0,4.0,No,14.0,6.0,0.9744248114517252,0.9807502878185211,0.9744248114517252,0.9755732966617038,0.9742467865301073,0.9678442868529498,0.9742467865301073,0.975440789615481
111,Extrovert,3.0,No,4.0,3.0,No,14.0,7.0,0.9762257032185212,0.9630354231974231,0.9762257032185212,0.9755732966617038,0.9761127243169778,0.9842137678222771,0.9761127243169778,0.975440789615481
112,Extrovert,3.0,No,5.0,3.0,No,7.0,9.0,0.9752173145650477,0.9651473029782469,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9744396872778286,0.9750398372807411,0.9751998213573527
113,Extrovert,0.0,No,10.0,4.0,No,9.0,8.0,0.9757809804516525,0.9768971094463935,0.9757809804516525,0.9747171890469377,0.9757491039443281,0.9828735984355268,0.9757491039443281,0.9751998213573527
114,Introvert,5.0,Yes,0.0,3.0,Yes,5.0,2.0,0.06827962412478918,0.06193350493375649,0.06827962412478918,0.07396272918470558,0.06773300669188627,0.08841149366433274,0.06773300669188627,0.07339967552160642
115,Extrovert,2.0,No,4.0,4.0,No,12.0,4.0,0.9752173145650477,0.9871849601501376,0.9752173145650477,0.9747171890469377,0.9750398372807411,0.9891165330192706,0.9750398372807411,0.9751998213573527
116,Extrovert,1.0,No,4.0,5.0,No,8.0,6.0,0.9752173145650477,0.9818150932725679,0.9752173145650477,0.9756800665555754,0.9750398372807411,0.9557092483198006,0.9750398372807411,0.9760370229573381
117,Extrovert,0.0,No,6.0,5.0,No,13.0,8.0,0.9757809804516525,0.9863439761718947,0.9757809804516525,0.9759497635885929,0.9757491039443281,0.9720030825967344,0.9757491039443281,0.9753971019820952
118,Extrovert,3.0,No,4.0,6.0,No,12.0,7.0,0.9752173145650477,0.9728364650123406,0.9752173145650477,0.9756800665555754,0.9750398372807411,0.9700951445285692,0.9750398372807411,0.9760370229573381
119,Introvert,10.0,Yes,,2.0,Yes,4.0,0.0,0.06778410405808825,0.05222493061937229,0.06778410405808825,0.06427265184482787,0.06751100341525783,0.06797451638010234,0.06751100341525783,0.0647879894162173
120,Extrovert,1.0,No,9.0,3.0,No,9.0,,0.9755279900571651,0.9669220660211509,0.9755279900571651,0.9759497635885929,0.9761370056357601,0.972371210719873,0.9761370056357601,0.9753971019820952
121,Introvert,9.0,Yes,3.0,,Yes,0.0,1.0,0.0688843169716374,0.05916795937729191,0.0688843169716374,0.06801584145491464,0.06694094669160668,0.03965765308172703,0.06694094669160668,0.06684809959861038
122,Introvert,6.0,Yes,1.0,0.0,Yes,0.0,1.0,0.0688843169716374,0.07264548491980105,0.0688843169716374,0.07099717470937374,0.06694094669160668,0.06709066629228756,0.06694094669160668,0.06932037704774992
123,Introvert,7.0,Yes,3.0,1.0,Yes,5.0,,0.0692116934852581,0.04800899774379759,0.0692116934852581,0.07396272918470558,0.06863507082835431,0.06517715570013452,0.06863507082835431,0.07339967552160642
124,Introvert,4.0,No,7.0,6.0,No,11.0,3.0,0.9762257032185212,0.9744061311067671,0.9762257032185212,0.9747171890469377,0.9761127243169778,0.9739827177007938,0.9761127243169778,0.9751998213573527
125,Extrovert,1.0,No,6.0,3.0,No,9.0,9.0,0.9752173145650477,0.9882309008543313,0.9752173145650477,0.9756800665555754,0.9750398372807411,0.9901646568188996,0.9750398372807411,0.9760370229573381
126,Extrovert,3.0,No,4.0,7.0,No,7.0,3.0,0.9752173145650477,0.9749876262675455,0.9752173145650477,0.9755732966617038,0.9750398372807411,0.9676161683116664,0.9750398372807411,0.975440789615481
127,Extrovert,1.0,No,9.0,4.0,No,6.0,7.0,0.9744248114517252,0.9737753649013967,0.9744248114517252,0.9756800665555754,0.9742467865301073,0.9790825193599877,0.9742467865301073,0.9760370229573381
128,Extrovert,1.0,No,4.0,6.0,No,8.0,8.0,0.9744248114517252,0.9630791312188555,0.9744248114517252,0.9752524091342913,0.9742467865301073,0.9730732322959584,0.9742467865301073,0.9752090993890185
129,Extrovert,,No,4.0,4.0,No,15.0,3.0,0.9757809804516525,1.008884491666956,0.9757809804516525,0.9752524091342913,0.9757491039443281,0.969161309178666,0.9757491039443281,0.9752090993890185
130,Introvert,10.0,Yes,0.0,,Yes,0.0,0.0,0.07129131651376448,0.07476555623573945,0.07129131651376448,0.06818251241284612,0.07131295272514954,0.06565945987357175,0.07131295272514954,0.06776991021972753
